"organization","category","description","url","states","view","download","transmit"
"21st Century Oncology","provider","","https://www.followmyhealth.com/","","y","y",""
"A Cipolla Medical Services PC","provider","","https://www.followmyhealth.com/","","y","y",""
"A Woman's Connection","provider","","https://www.followmyhealth.com/","","y","y",""
"AADC/MPC","provider","","https://www.followmyhealth.com/","","y","y",""
"AARA","provider","","https://www.followmyhealth.com/","","y","y",""
"Aaron E. Henry Community Health Center","provider","","https://www.followmyhealth.com/","","y","y",""
"AASAZ","provider","","https://www.followmyhealth.com/","","y","y",""
"Abbey Medical Associates P.C.","provider","","https://www.followmyhealth.com/","","y","y",""
"Abbott Northwestern Hospital","hospital","","http://www.allinahealth.org/Customer-Service/Medical-records/MyChart/","MN","y","y","y"
"Abilene Diagnostic Clinic","provider","","https://www.followmyhealth.com/","","y","y",""
"Abington Memorial Hospital","hospital","","https://epp.ecwcloud.com/epp8/jsp/epp/epp_login.jsp","PA","y","y","y"
"Abraham Lincoln Memorial Hospital","hospital","","https://www.almh.org/","IL","y","y",""
"Abrom Kaplan Memorial Hospital","hospital","","http://www.lafayettegeneral.com/patient_visitor_info.aspx","LA","","","y"
"Acadiana Vascular Center","provider","","https://www.followmyhealth.com/","","y","y",""
"Access Community Health Centers","provider","As a not-for-profit charitable organization, we provide affordable and quality primary medical, dental, and behavioral health care and pharmacy services at five locations.","https://accesshealthmychart.org/mychart/","CT,WI","y","","y"
"ACL","provider","","https://www.followmyhealth.com/","","y","y",""
"ACMC","provider","","https://www.followmyhealth.com/","","y","y",""
"ACMH Hospital","hospital","","https://patientportal.acmh.org/","PA","y","y","y"
"ADAMS COUNTY MEMORIAL HOSPITAL","hospital","","https://www.followmyhealth.com/","","y","y",""
"Adena Pike Medical Center","hospital","","http://www.adena.org/inside/page.dT/patient-portal","OH","y","y","y"
"Adirondack Medical Center","hospital","","http://www.adirondackhealth.org/adirondack-medical-center/","NY","","",""
"Advanced Pain Care Medical P.C.","provider","","https://www.followmyhealth.com/","","y","y",""
"Advanced Surgical Associates","provider","","https://www.followmyhealth.com/","","y","y",""
"Advanced Urologic Associates","provider","","https://www.followmyhealth.com/","","y","y",""
"ADVANTAGE Health Solutions, Inc.","insurance","ADVANTAGE Health Solutions, Inc.℠, is an Indiana-based, provider-owned health plan and third party administrator (TPA) offering healthcare benefits and innovative care management and wellness programs to employer groups of all sizes.","https://secure.healthx.com/publicservice/loginv1/login.aspx?bc=266da30d-a4ef-4f2d-a23d-45ad1a986dcb&serviceid=f9f857f8-5d7d-408f-a87e-684006ee8007","IN","y","",""
"Adventist Medical Center - Hanford","hospital","","https://www.adventisthealth.org/central-valley/pages/patients-and-visitors.aspx","CA","y","",""
"Adventist Medical Center-Reedley","hospital","","https://www.adventisthealth.org/pages/patients-and-visitors/myadventisthealth.aspx","CA","y","",""
"Advocate BroMenn Medical Center","hospital","","http://www.advocatehealth.com/bromenn/patient-portal","IL","y","y","y"
"Advocate Christ Medical Center","hospital","","http://amgdoctors.com/myadvocate-patient-portal/","IL","y","y","y"
"Advocate Condell Medical Center","hospital","","http://www.advocatehealth.com/condell/","IL","y","y","y"
"Advocate Eureka Hospital","hospital","","http://www.advocatehealth.com/eureka/patient-portal","IL","y","y","y"
"Advocate Good Samaritan Hospital","hospital","","http://advocatehealth.com/gsam/","IL","y","y","y"
"Advocate Good Shepherd Hospital","hospital","","http://amgdoctors.com/myadvocate-patient-portal/","IL","y","y","y"
"Advocate Illinois Masonic Medical Center","hospital","","http://amgdoctors.com/myadvocate-patient-portal/","IL","y","y","y"
"Advocate Lutheran General Hospital","hospital","","http://amgdoctors.com/myadvocate-patient-portal/","IL","y","y","y"
"Advocate Sherman Hospital","hospital","","http://www.advocatehealth.com/hope/","IL","y","y","y"
"Advocate South Suburban Hospital","hospital","","https://myadvocate.advocatehealth.com/patientApp/login.do?authfailedfinal=true","IL","y","y","y"
"Advocate Trinity Hospital","hospital","","https://myadvocate.advocatehealth.com/patientApp/remoteLoginInternal.do","IL","y","y","y"
"Aetna","insurance","Aetna is dedicated to helping people achieve health and financial security by providing easy access to safe, cost-effective, high-quality health care and protecting their finances against health-related risks.","https://member.aetna.com/appConfig/login/login.fcc?TYPE=33554433&REALMOID=06-36d8cb4d-4ac1-44c7-b12d-a80fba4b718e&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-xU5km2Pz5%2f9A%2f2FCwUlXE48HlDkyH9ruz3da8Iqw6pwcy09mgHFN5RmlkMNqguY5&TARGET=-SM-HTTPS%3a%2f%2","CT","y","y","y"
"Affiliated Clinics of Grinnell Regional Medical Center","provider","","https://www.followmyhealth.com/","","y","y",""
"Affiliates of Family Medicine","provider","","https://www.followmyhealth.com/","","y","y",""
"Agnesian HealthCare","hospital","","https://cernerhealth.com/oauth/authenticate?client_id=0cf04f17c5ed4f24a44296ceee900133&redirect_uri=https://agnesian.iqhealth.com/login/cerner-health/authenticated&sign_in_only=on","WI","y","y","y"
"AHMC Anaheim Regional Medical Center","hospital","","http://www.anaheimregionalmc.com/Patients-Visitors-Contractors/For-Patients/Patient-Portal.aspx","CA","y","",""
"Aiea Pediatrics, LLC","provider","","https://www.followmyhealth.com/","","y","y",""
