"name","organization","url","description","img","apple_url","google_url"
"4Med Mobile Vitals Diary","4Med Systems, Inc.","http://4medmobile.force.com/asb_ListingDetail?listingId=a07j0000006s1YFAAY","Our vitals tracking app allows patients to keep track of their health information and store it securely online and supports more than 100 wireless medical devices. Tracks Blood Pressure, Blood Glucose, Heart Rate, Weight, Temperature, Blood Oxygen, ECG, Spirometry and Medication Adherence.","https://drive.google.com/a/4medsystems.com/file/d/0B4ZPLu9pdKHyRHJuWVJXT3N5VFE/view?usp=sharing","",""
"Batz guide for patient safety","Louise Batz Foundation","http://www.louisebatz.org","Each year, preventable medical errors take the lives of almost 200,000 Americans making it the third leading cause of death in the United States. (Healthgrades 2004) On April 14, 2009, my mom, Louise Batz, went to have knee replacement surgery. That night, a medical error caused Mom to sustain an injury from which she could not recover","http://a3.mzstatic.com/us/r30/Purple69/v4/87/6e/d8/876ed8c6-c5ac-c570-9801-0d8e96ddc5b3/icon175x175.jpeg","https://itunes.apple.com/us/app/batz-patient-guide/id1017104483?l=nl&ls=1&mt=8",""
"Cake Health","Cake Health","https://cakehealth.com/","Brings all your health care plans together online so you can easily track your health spending — without the paperwork.",,,
"CareSync","CareSync","http://www.caresync.com","Easy-to-use web, iOS, and Android applications make it incredibly simple to access and share your health information. The power of data finally gets personal.",,"https://itunes.apple.com/us/app/caresync/id635439202?mt=8","https://play.google.com/store/apps/details?id=com.lifedash.caresync"
"CareZone","Carezone","https://carezone.com/home","Add medications just with pictures. Connect with physicians","https://pbs.twimg.com/profile_images/659851173512372224/NfAmqWmb.png","",""
"CORAlink","CoraNet","http://www.coranetsolutions.com/","An emergency app that stores emergency lifesaving information such as profile, blood type, allergies and medications.",,,"https://play.google.com/store/apps/details?id=com.emergency.coravault"
"CORAvault","CoraNet","https://play.google.com/store/apps/details?id=com.coravault","Carry an always up-to-date health record, manage appointments, share records in a secure manner, and manage medications and allergies.",,"","https://play.google.com/store/apps/details?id=com.coravault"
"Datuit","Datuit","http://www.datuit.com/datuit_applications","Accurately and conveniently communicate with all of your clinicians and caregivers at the same time.",,,
"emrAnyWhere","emrAnyWhere LLC","http://www.emranywhere.net","emrAnyWhere enables patients and providers to manage care delivery. With the providers defining the regimen & goals and the patient providing real-time details on their vitals, health measures & medication compliance, emrAnyWhere takes the Patient Engagement to a whole new level.",,,
"FollowMyHealth","Jardogs","https://www.followmyhealth.com/","Empowers patients to take a more active role in managing their care.",,"https://itunes.apple.com/us/app/followmyhealth-mobile/id502147249?mt=8","https://play.google.com/store/apps/details?id=com.jardogs.fmhmobile&hl=en"
"GenieMD","GenieMD","http://geniemd.com/","GenieMD easily tracks, securely stores and conveniently shares your health profile from the palm of your hand.",,"https://itunes.apple.com/us/app/geniemd/id544369883?mt=8","https://play.google.com/store/apps/details?id=com.geniemd.geniemd"
"HealthCenter","MedicaSoft","http://www.medicasoft.us/healthcenter","HealthCenter is an MU-certified patient portal and personal health record that puts health information in the hands of patients. Patients use HC to manage and control their health information from one easy-to-use site. Health records can be electronically and securely exchanged and consolidated into a single patient record.","https://cldup.com/n6Y-2z9xH6.png","",""
"Healthjump","Healthjump Inc.","http://Healthjump.com","Healthjump is an online health exchange enabling doctor-to-patient and doctor-to-doctor communication on a secure platform. Patient benefits include consolidating their health record, managing multiple accounts from one login, requesting appointments, and paying copays.",,,
"Healthmemo","Notch Media","http://www.healthmemo.in/","HealthMemo is a smart solution free app to upload and maintain health records electronically. Maintaining all paper documents is tedious and it is not possible to carry them around at all times. Digital copies (soft copies) of these documents are rarely provided by the hospitals/clinics. The app is designed to bridge this gap with the help of the ubiquitous mobile phone.","http://www.healthmemo.in/images/logo.png","https://itunes.apple.com/us/app/healthmemo/id897017931?mt=8","https://play.google.com/store/apps/details?id=com.notchmag.healthmemo"
"Healthspek","Healthspek","http://www.healthspek.com","Your personal and family health record with your own actionable speks.",,"https://itunes.apple.com/us/app/healthspek-personal-health/id576488481?mt=8",""
"Healthvault","Healthvault","http://healthvault.com","A trusted place for people to gather, store, use, and share health information online.",,,
"Hello Doctor","Hello Doctor","https://hello.do/","Helps you manage and understand your medical records, and makes it easy to share them with your doctor, for free.",,,
"Hello Heart","Hello Doctor","https://helloheartapp.com/","Hello Heart empowers people to take control of their health. You can easily manage all of your medical data, track blood pressure and understand if your BP or cholesterol levels are too high. It has built in notification to track your BP and simple reassuring explanations that help you understand your medical data and always feel calm and in control.",,"https://itunes.apple.com/us/app/hello-heart/id924860002?ls=1&mt=8",""
"iBlueButton","Humetrix","http://www.ibluebutton.com/getapps.html","Easily and securely access, store and share your Medicare, VA, Tricare and other Blue Button records with your physicians directly from your smartphone or tablet.",,"https://itunes.apple.com/us/app/ibluebutton/id492141530?mt=8","https://play.google.com/store/apps/details?id=com.humetrix.iBlueButton"
"ICEBlueButton","Humetrix","http://www.icebluebutton.com","ICEBlueButton allows anyone to easily create an ICE (In Case of Emergency) record on their smartphone for themselves and their loved ones.",,"https://itunes.apple.com/us/app/icebluebutton/id738679884?mt=8","https://play.google.com/store/apps/details?id=com.humetrix.icebb"
"iShare Medical Records","iShare Medical, LLC","http://www.iShareMedical.com","Consolidates all of your medical records into a single shared up-to-date medical record.",,,
"Kinsights","Kinsights","https://kinsights.com/","Create your child's health record",,,
"Medfusion Plus","Medfusion","http://www.medfusionplus.com","Simplify your family's healthcare. \n\nMedfusion Plus:\n1. Imports your health records from your doctors\n2. It organizes it and automatically keeps it up to date\n3. It lets you manage your whole family together","http://medfusionplus.com/img/logo.png","https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewSoftware?id=922524241","https://play.google.com/store/apps/details?id=com.medfusion.claire"
"Medisafe","Medisafe","http://www.medisafe.com","Keep yourself and loved ones safe and never forget to take your meds again with Medisafe, the easy-to-use and FREE app ranked #1 by pharmacists to help you remember when to take your pills.","http://photos.prnewswire.com/prn/20150817/258916LOGO","https://itunes.apple.com/us/app/medisafe-medication-reminder/id573916946?mt=8","https://play.google.com/store/apps/details?id=com.medisafe.android.client&hl=en"
"Medyear","Medyear, Inc.","http://www.medyear.com","Medyear is a universal health record that empowers individual users to truly take charge of their health journey.  It gathers all of their health and medical data in one place in an easy-to-understand, story-like format on their mobile devices.",,,
"My911 Health","My911, Inc.","http://www.my-911.com/health","Pre and Post Emergency service along with Health and Wellness monitoring.",,"https://itunes.apple.com/us/app/my911/id421066889?mt=8","https://play.google.com/store/apps/details?id=com.my911.FULL"
"myBlueHub","BlueHub Health","http://www.bluehubhealth.com","myBlueHub empowers patients to collect, manage and share their health information in a simple to use application. myBlueHub connects patients with their families, care givers and providers and allows data to move securely through the system.",,,
"MyChartCentral / Lucy","Epic Systems Corporation","https://www.mychartcentral.com/FAQ.aspx","With MyChartCentral, patients don’t need to remember a handful of passwords and visit multiple web sites looking for their medical data: It can all be found in one place.\r\n\r\nWith Lucy, patients can enter information about their own health that can then be sent to the patients’ healthcare providers.",,,
