PROVIDER NPI,PROVIDER CCN,PROVIDER / ORG NAME,PROVIDER STATE,PROVIDER CITY,PROVIDER  ADDRESS,PROVIDER ZIP 5 CD,PROVIDER ZIP 4 CD,PROVIDER PHONE NUM,PROVIDER PHONE EXT,STAGE NUMBER,PROGRAM YEAR,CALC PAYMENT  AMT ($)
     HOSPITALS,,,,,,,,,,,,
1023061405,10104,AFFINITY HOSPITAL LLC,Alabama,Birmingham,800 Montclair Rd,35213,1908,(205) 592-1200,               ,Stage 1,2013,"$2,198,245.19"
1023061405,10104,AFFINITY HOSPITAL LLC,Alabama,Birmingham,800 Montclair Rd,35213,1908,(205) 592-1200,               ,Stage 1,2014,"$1,547,227.86"
1023061405,10104,AFFINITY HOSPITAL LLC,Alabama,Birmingham,800 Montclair Rd,35213,1908,(205) 592-1200,               ,Stage 2,2015,"$1,031,485.24"
1215976675,10038,ANNISTON HMA LLC,Alabama,Anniston,301 E 18th St,36207,3952,(256) 235-8906,               ,Stage 1,2012,"$1,650,033.60"
1215976675,10038,ANNISTON HMA LLC,Alabama,Anniston,301 E 18th St,36207,3952,(256) 235-8906,               ,Stage 1,2013,"$1,149,643.78"
1215976675,10038,ANNISTON HMA LLC,Alabama,Anniston,301 E 18th St,36207,3952,(256) 235-8906,               ,Stage 1,2014,"$725,249.19"
1215976675,10038,ANNISTON HMA LLC,Alabama,Anniston,301 E 18th St,36207,3952,(256) 235-8906,               ,Stage 2,2015,"$362,624.60"
1568453389,10059,ATTENTUS MOULTON LLC,Alabama,Moulton,202 Hospital St,35650,1218,(256) 974-2200,               ,Stage 1,2012,"$1,541,600.00"
1568453389,10059,ATTENTUS MOULTON LLC,Alabama,Moulton,202 Hospital St,35650,1218,(256) 974-2200,               ,Stage 1,2013,"$1,133,076.00"
1568453389,10059,ATTENTUS MOULTON LLC,Alabama,Moulton,202 Hospital St,35650,1218,(256) 974-2200,               ,Stage 2,2015,"$314,482.00"
1053403220,10016,BAPTIST HEALTH SYSTEM INC,Alabama,Alabaster,1000 1st St N,35007,8703,(205) 620-8100,               ,Stage 1,2013,"$2,305,487.77"
1497843940,10089,BAPTIST HEALTH SYSTEM INC,Alabama,Jasper,3400 Highway 78 E,35501,8907,(205) 387-4000,               ,Stage 1,2013,"$1,787,429.69"
1053403220,10016,BAPTIST HEALTH SYSTEM INC,Alabama,Alabaster,1000 1st St N,35007,8703,(205) 620-8100,               ,Stage 1,2014,"$1,822,149.60"
1497843940,10089,BAPTIST HEALTH SYSTEM INC,Alabama,Jasper,3400 Highway 78 E,35501,8907,(205) 387-4000,               ,Stage 1,2014,"$1,394,218.67"
1659313906,10139,"BROOKWOOD HEALTH SERVICES, INC.",Alabama,Birmingham,2010 Brookwood Medical Ctr Dr,35209,6804,(205) 877-1000,               ,Stage 1,2013,"$2,618,865.28"
1659313906,10139,"BROOKWOOD HEALTH SERVICES, INC.",Alabama,Birmingham,2010 Brookwood Medical Ctr Dr,35209,6804,(205) 877-1000,               ,Stage 1,2014,"$1,966,884.52"
1578809430,10018,CALLAHAN EYE HOSPITAL HEALTH CARE AUTHORITY,Alabama,Birmingham,1720 University Blvd,35233,1816,(205) 325-8100,               ,Stage 1,2013,"$1,635,032.00"
1578809430,10018,CALLAHAN EYE HOSPITAL HEALTH CARE AUTHORITY,Alabama,Birmingham,1720 University Blvd,35233,1816,(205) 325-8100,               ,Stage 1,2014,"$788,802.00"
1396766267,10022,CENTRE HOSPITAL CORPORATION,Alabama,Centre,400 Northwood Dr,35960,1023,(256) 927-5531,               ,Stage 1,2013,"$1,270,668.00"
1396766267,10022,CENTRE HOSPITAL CORPORATION,Alabama,Centre,400 Northwood Dr,35960,1023,(256) 927-5531,               ,Stage 1,2014,"$851,718.00"
1396766267,10022,CENTRE HOSPITAL CORPORATION,Alabama,Centre,400 Northwood Dr,35960,1023,(256) 927-5531,               ,Stage 2,2015,"$567,812.00"
1356344915,10025,Chattahoochee Valley Hospital Society,Alabama,Valley,4800 48th St,36854,3666,(334) 756-9180,1491,Stage 1,2011,"$1,395,542.12"
1356344915,10025,Chattahoochee Valley Hospital Society,Alabama,Valley,4800 48th St,36854,3666,(334) 756-9180,1491,Stage 1,2012,"$1,027,674.26"
1629166194,10101,CITIZENS BAPTIST MEDICAL CENTER,Alabama,Talladega,604 Stone Ave,35160,2217,(256) 362-8111,               ,Stage 1,2013,"$1,188,884.02"
1629166194,10101,CITIZENS BAPTIST MEDICAL CENTER,Alabama,Talladega,604 Stone Ave,35160,2217,(256) 362-8111,               ,Stage 1,2014,"$989,652.37"
1659387082,10043,Clanton Hospital LLC,Alabama,Clanton,1010 Lay Dam Rd,35045,2306,(404) 788-4861,      
